,Project Developer,Project Type,Project Name,Credit Status,Estimated Annual Emission Reductions,Country
859,EKI Energy Services Limited,Energy demand,Improved Cookstove Distribution in Kenya by EKI Phase 01,Registered,76131,Kenya
860,EKI Energy Services Limited,Energy demand,Improved Cookstove Distribution in Kenya by EKI Phase 0 2,Under validation,4862,Kenya
861,GAIA s.r.l. Societa Agricola,Agriculture Forestry and Other Land Use,THE LANDS OF WHEAT,Under validation,451866,Italy
862,"d.light design, Ltd",Energy demand,D.Light's Improved Cooking Project In Africa,Under validation,1115331,Kenya
863,Veolia SU Chile S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,La Yesca Landfill Gas Project,Under validation,146516,Chile
864,VEDA CLIMATE CHANGE SOLUTIONS LTD,Agriculture Forestry and Other Land Use,MITIGATING CLIMATE CHANGE AND ENHANCING RURAL LIVELIHOODS THROUGH PLANTATIONS RAISED TO PROVIDE RAW MATERIAL TO THE PAPER INDUSTRY,Under validation,60116,India
865,"Xuwen Xinpenggang Building Materials Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Xuwen County,Inactive,59856,China
866,"Sino-Carbon Carbon Sink Science and Technology Development(Shangqiu) Co., LTD","Livestock, enteric fermentation, and manure management","Shangqiu Weijie Agricultural Development Co., Ltd Manure Management System GHG Mitigation Project",Under validation,30027,China
867,"Jiangxi Zhenghe Ecological Agriculture Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Jiangxi Zhenghe Livestock Manure Treatment Project,Registration and verification approval requested,351225,China
868,Tata Communications Limited,Agriculture Forestry and Other Land Use,CLIMATE SUSTAINABILITY THROUGH HORTICULTURE PROJECT IN INDIA,Registration requested,5645,India
869,Tata Communications Limited,Energy demand,Smart Cookstove Program by Tata Communications,Registration requested,49082,India
870,Varaha ClimateAg Private Limited,Agriculture Forestry and Other Land Use,ENHANCING LIVELIHOOD OF TRIBAL COMMUNITIES THROUGH AGROFORESTRY IN SOUTH INDIA,Under validation,502596,India
871,Eni S.p.A.,Energy demand,IMPROVED COOKSTOVES DISTRIBUTION IN MOZAMBIQUE – SOFALA AND MANICA PROVINCES,Under validation,99600,Mozambique
872,Multiple Proponents,Agriculture Forestry and Other Land Use,"BLUE CARBON MANGROVE CONSERVATION PROJECT:  RESTORING COASTAL ECOSYSTEMS ALONG THE COAST OF  KRISHNA DELTA, GODAVARI DELTA AND ADJOINING RESERVE  FOREST AREAS IN ANDHRA PRADESH",Inactive,239250,India
873,Varaha ClimateAg Private Limited,Agriculture Forestry and Other Land Use,IMPROVING LIVELIHOOD OF FARMERS VIA CARBON FINANCE PROJECT IN NEPAL,Registration and verification approval requested,491838,Nepal
874,"Green Sustainable Ventures (Cambodia) Co., Ltd.",Energy industries (renewable/non-renewable sources),"26MWp Solar Photovoltaic Power Plant in Bavet City, Cambodia",Verification approval requested,26473,Cambodia
875,BRCARBON SERVICOS AMBIENTAIS LTDA,Agriculture Forestry and Other Land Use,Cauaxi REDD+ Grouped Project,Registration requested,190881,Brazil
876,Emergent Ventures India Private Limited,Agriculture Forestry and Other Land Use,EVI BAMBOO AFFORESTATION PROJECT IN INDIA,Rejected by Administrator,26292,India
877,Multiple Proponents,Agriculture Forestry and Other Land Use,Agropalma REDD+ Project,Registration request denied,669982,Brazil
878,ITC Limited,Agriculture Forestry and Other Land Use,Agroforestry Plantation of ITC Limited In Selected Regions of North India,Under validation,281305,India
879,Kosher Climate India Pvt. Ltd.,Agriculture Forestry and Other Land Use,Improved Agricultural Practices for Rice Cultivation in India,Registration requested,83599,India
880,"GEP (Myanmar) Co., Ltd. (Head Office)",Energy industries (renewable/non-renewable sources),220MWDC MINBU SOLAR POWER  PLANT PROJECT,Registration and verification approval requested,78328,Myanmar
881,Solvi Participações S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,GUAMÁ LANDFILL GAS PROJECT,Registration requested,290881,Brazil
882,CSG EV LLC,Energy industries (renewable/non-renewable sources); Transport,CSG EV Charger Premier Aggregation,Registered,3491,United States
883,Multiple Proponents,Agriculture Forestry and Other Land Use,"Strengthening rural livelihoods of smallholder farmers in tribal districts of Odisha,India",Under validation,175514,India
884,Solenova Ltd,Energy industries (renewable/non-renewable sources),Angola Caraculo PV Plant,Under validation,39390,Angola
885,Multiple Proponents,Agriculture Forestry and Other Land Use,Sustainable Agriculture Project by Arvind in India,On Hold - see notification letter,79875,India
886,Agreena ApS,Agriculture Forestry and Other Land Use,AgreenaCarbon Project,Registration requested,3022435,Denmark
887,CarbonCure Technologies Inc.,Construction; Manufacturing industries,CO2 UTILIZATION IN CONCRETE - Removals & Reductions - CarbonCure - U.S & Canada. Project #1,Registration and verification approval requested,38857,United States
888,CarbonCure Technologies Inc.,Construction; Manufacturing industries,CO2 UTILIZATION IN CONCRETE - REMOVALS & REDUCTIONS – CarbonCure – Asia #1,Registration and verification approval requested,84821,Singapore
889,CarbonCure Technologies Inc.,Construction; Manufacturing industries,CO2 Utilization in Concrete – Removals & Reductions – CarbonCure – U.S & Canada Project #1,Under validation,84821,Bolivia
890,Systemica Inteligência em Sustentabilidade S.A.,Agriculture Forestry and Other Land Use,Amazon Biome Conservancy Grouped REDD+ Project,Registration requested,97926,Brazil
891,Biokütle Enerji Elektrik Üretim Anonim Şirketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Sinop Landfill Gas to Electricity Project,Registered,37688,Turkey
892,"Circular Impact, Inc.",Waste handling and disposal,Sanergy Composting Group Project,Registration and verification approval requested,33658,Kenya
893,EKI Energy Services Limited,Energy demand; Energy industries (renewable/non-renewable sources),Installation of Solar Water Pump,Under validation,37,India
894,"Qinghai Taiheyuan Agriculture Technology Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",Qinghai Taiheyuan Swine Farm Manure Management System GHG Mitigation Project,Registered,37258,China
895,"Nongkhainayu Co., Ltd",Waste handling and disposal,8 MW NongKhai Waste to Energy Project in Thailand,Under validation,44165,Thailand
896,INOCAS,Agriculture Forestry and Other Land Use,Macaúba as a Productive Second Floor,Rejected by Administrator,2000,Brazil
897,Fideicomiso Financiero Forestal Terraligna,Agriculture Forestry and Other Land Use,Terraligna Afforestation Over Degraded Grasslands,Under validation,11130,Uruguay
898,Multiple Proponents,Agriculture Forestry and Other Land Use,The Native Ecosystem Restoration in Nicaragua Project,Registration requested,164,Nicaragua
899,Multiple Proponents,Energy industries (renewable/non-renewable sources),Bundled Solar Power Project by AMP Energy - 01,Registered,13207,India
900,KORFEZ ENERJI SAN. VE TIC. A.S.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Avcıkoru Landfill Gas to Electricity Project,Registration and verification approval requested,1099925,Turkey
901,Livelihoods Fund SICAV SIF,Agriculture Forestry and Other Land Use,Agroforestry For Livelihoods Project,Rejected by Administrator,117565,Rwanda
902,ETG Commodities B.V.,Agriculture Forestry and Other Land Use,Zambia Agroforestry Grouped Project,Under validation,216044,Zambia
903,Multiple Proponents,Energy demand,DelAgua Clean Cooking Grouped Project in The Gambia,Registration and verification approval requested,806956,Gambia
904,"Hubei Jinnonggu Agriculture and Animal Husbandry Technology Co., Ltd","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",Hubei Jinnonggu AWMS GHG Mitigation Project,Under validation,65470,China
905,Family Forest Impact Foundation,Agriculture Forestry and Other Land Use,Family Forest Carbon Program - Central Appalachia,Under validation,294337,United States
906,INNER MONGOLIA DAXING’ANLING CARBON SINK TECHNOLOGY CO.LTD,Agriculture Forestry and Other Land Use,Inner Mongolia Yitulihe-Genhe Afforestation Project,Under validation,13339,China
907,"Sichuan Huashun Haitian Chemical Fiber Co., Ltd.",Waste handling and disposal,Sichuan Huashun PET Recycling Project,Under validation,59506,China
908,MEM TEKSTIL SANAYI VE TICARET ANONIM SIRKETI,Energy industries (renewable/non-renewable sources),MEM OSB-1 SOLAR POWER PROJECT,Under validation,5822,Turkey
909,Carbon Group Agro-Climatic Solutions LLC,Agriculture Forestry and Other Land Use,CARBON GROUP PROGRAM FOR SUSTAINABLE LOW CARBON CROP AND GRASSLAND MANAGEMENT IN ARGENTINA,Rejected by Administrator,61506,Argentina
910,We-Agri,Agriculture Forestry and Other Land Use,MILOPRI PROJECT - PRECISION MANAGEMENT SYSTEMS FOR SUSTAINABLE ORCHARDS,Under validation,11020,Israel
911,"Aksu Xingjiang Muge FOOD Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",Xinjiang Muge Swine Farm Manure Management System GHG Mitigation Project,Registered,165560,China
912,"Golmud Xingjiang MUGE FOOD Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",Qinghai Muge Swine Farm Manure Management System GHG Mitigation Project,Registered,30789,China
913,EKI Energy Services Limited,Energy demand; Energy industries (renewable/non-renewable sources),Improved Cookstove Distribution in Ghana by EKI Phase-III,Rejected by Administrator,27843,Ghana
914,EKI Energy Services Limited,Energy demand,Improved Cookstove Distribution in Ghana by EKI Phase-II,Under validation,3978,Ghana
915,"Hebei Zhonghai Huaneng Energy Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,"Leyuan ANIMAL Husbandry Weixian Co., Ltd. NO. 4 Pasture Wastes Recycling Project",Registered,57220,China
916,SPIRO HOLDCO,Transport,Grouped Electric bikes project in Africa,Registration requested,65806,Togo
917,Kosher Climate India Pvt. Ltd.,Energy industries (renewable/non-renewable sources),15 MW Nam The Hydropower Project,Inactive,40111,Lao
918,"Chongqing Tanray Technology Co.,Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in West of Fuling District in Chongqing City,Inactive,51982,China
919,"Chongqing Tanray Technology Co.,Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in East of Fuling District in Chongqing City,Inactive,51919,China
920,"Jiangxi Green Energy Agricultural Development Co., Ltd",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in North Anyi,Inactive,76357,China
921,"Jiangxi Green Energy Agricultural Development Co., Ltd",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in South Anyi,Inactive,73541,China
922,Involtor Consult SRL,Agriculture Forestry and Other Land Use,"involtor Future Agriculture, East-Europe",Registration and verification approval requested,5548907,Romania
923,POWA International,Energy demand,Improved cookstoves for refugees in Uganda,Under validation,833907,Uganda
924,"Zhejiang Jia’ao Green New Energy Co., Ltd.",Chemical industry; Transport,Zhejiang Jia’ao Biodiesel Production Project,Withdrawn,389796,China
925,"Daming Jiujin Energy Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Hebei Handan Damingchang Biogas Recovery and Utilization Project,Registered,33017,China
926,Multiple Proponents,Agriculture Forestry and Other Land Use,Carbon In Flavor and Arome Forests (C-BOSAR),Registered,10247,Colombia
927,FMH Enerji Ticaret Limited Şirketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Karaman Landfill Gas to Electricity Project,Registration and verification approval requested,80864,Turkey
928,Societa Agricola Blue Valley Srl,Agriculture Forestry and Other Land Use,"VALLE LAGUNARE - VAL DOGA', CAPOSILE - VENICE CARBON CREDIT ASSESSMENT IN CONTROLLED LAGOON ENVIRONMENT",Under validation,150531,Italy
929,INNER MONGOLIA DAXING’ANLING CARBON SINK TECHNOLOGY CO.LTD,Agriculture Forestry and Other Land Use,Inner Mongolia Alihe-Jiwen Afforestation Project,Under validation,8874,China
930,Shri Maa Marketing Private Limited,Energy demand,SMG - Nepal Cookstove Program in Terai Region of Himalayas,Registered,116913,Nepal
931,Sinochem Agriculture Holdings,Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Zhijiang City,Inactive,42981,China
932,"Jiangsu Yongyin Chemical Fibre Co., Ltd.",Waste handling and disposal,Jiangsu Qidong Yongyin Recycled PET Project,Registered,55207,China
933,The Nature Conservancy,Agriculture Forestry and Other Land Use,Belize Maya Forest REDD+ Project,Registration requested,736688,Belize
934,"Guangzhou Qichen Technology Co., Ltd.",Transport,RUQI MOBILITY GUANGZHOU ELECTRIC VEHICLE IN PASSENGER TRANSPORTATION Phase 2 PROJECT,Registered,51977,China
935,"ECONEXUS Carbon Credit Co., Ltd.,",Chemical industry; Energy demand; Energy industries (renewable/non-renewable sources),SUSTAINABLE CHARCOAL AND IMPROVED COOKSTOVE INITIATIVE USING MICRO-GASIFIER IN INDIA,Registered,3206158,India
936,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,Grouped Project for Philippines Water Purifier Program,Under validation,3795168,Philippines
937,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,Grouped Project for Philippines Cookstove Program,Under validation,20697232,Philippines
938,"Hui County XINGJIANG Muge Breeding Co., LTD.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",Gansu Hui County Muge Swine Farm Manure Management System GHG Mitigation Project,Registered,42656,China
939,"Changde Dingcheng District Xingjiang Muge Breeding Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",Hunan Changde Muge Swine Farm Manure Management System GHG Mitigation Project,Registered,51445,China
940,"Sichuan Cangxi Urban Investment Carbon Sink Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Cangxi County in Sichuan Province,Inactive,58445,China
941,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,Danjingshan Adjusted Water Management in Rice Cultivation,Inactive,56653,China
942,Global Carbon Solutions,Transport; Waste handling and disposal,Waste Management Project-1 by GLOBAL CARBON SOLUTIONS,Registration and verification approval requested,35936,India
943,"Henan Yangxiang Breeding Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",Jinmu AWMS GHG Mitigation Project in Liaoning Province,Registered,38716,China
944,"Henan Yangxiang Breeding Co., Ltd",Waste handling and disposal,Yangxiang AWMS GHG Mitigation Project In Anhui Province,Registered,12974,China
945,Climanext Private Limited,Energy demand,Installation of high efficiency cookstoves in Uttar Pradesh and Madhya Pradesh  (India),Under validation,380912,India
946,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,Installation of high efficiency wood burning cookstoves in South Africa,Registered,1004676,South Africa
947,Ecosecurities Group Limited,Agriculture Forestry and Other Land Use,Carbono Rural AR NEA,Under validation,34597,Argentina
948,Climanext Private Limited,Energy demand,Distribution of LED Lamps for replacing ICLs in India,Under validation,53799,India
949,"Lianzhou Dongkang Renewable Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Lianzhou Landfill Gas Power Generation Project,Registered,82464,China
950,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,Tianpeng Adjusted Water Management in Rice Cultivation,Inactive,56539,China
951,CARBON CREDITS CONSULTING S.R.L.,Energy demand,Angovo Maharitra,Registered,25948,Madagascar
952,CARBON CREDITS CONSULTING S.R.L.,Energy demand,Mila Rano - Safe water access for Madagascar,Registration requested,10471,Madagascar
953,Multiple Proponents,Energy demand,"Improved Cook Stove Project 1, Nkhata Bay District, Malawi - CER Conversion",Units Transferred from Approved GHG Program,32672,Malawi
954,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,Shuchuan Adjusted Water Management in Rice Cultivation,Inactive,55471,China
955,Multiple Proponents,Agriculture Forestry and Other Land Use,REGENERATIVE LIVESTOCK CARBON PROJECT WITH A PARTICIPATORY APPROACH IN COLOMBIA,Under validation,22293,Colombia
956,Solvi Participações S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,QUATÁ LANDFILL GAS PROJECT,Under validation,90387,Brazil
957,Solvi Participações S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,VICTOR GRAEFF LANDFILL GAS PROJECT,Registration requested,75693,Brazil
958,"Zhejiang Zhongzheng Forestry Development Co.,Ltd",Agriculture Forestry and Other Land Use,Fujian Wuyishan Adjusted Water Management in Rice Cultivation,Inactive,36316,China
959,Symbrosia,"Livestock, enteric fermentation, and manure management",SeaGraze™ Deployment Project - Early Adopters For Radical Methane Reduction,Under validation,330026,United States
960,Carbon Limit,Construction; Manufacturing industries,PRODUCTION OF CONCRETE WITH CO2 CAPTURE AND CEMENT REDUCTION,Registration requested,393962,United States
961,"Guizhou Qianhe Carbon Technology Co., Ltd",Agriculture Forestry and Other Land Use,Henan Luoning Afforestation Project,Inactive,329848,China
962,TOHMA Biyogaz Enerji Limited Şirketi,Waste handling and disposal,TOHMA Biomass Power Plant,Registration requested,105535,Turkey
963,Jiangxi Huapeng Low-carbon Technology Limited,Agriculture Forestry and Other Land Use,Fujian Wuping Improved Forest Management Project,Registration request denied,429218,China
964,Ísorka ehf,Energy industries (renewable/non-renewable sources); Transport,Isorka: Electric Vehicle Charging in Iceland,Registered,37545,Iceland
965,Multiple Proponents,Agriculture Forestry and Other Land Use,Grouped Sustainable Agroforestry Project,Registration requested,325554,India
966,Multiple Proponents,Energy demand,Timor-Leste Improved Cookstoves and Community Development Project,Registered,509451,Timor-Leste
967,Multiple Proponents,Agriculture Forestry and Other Land Use,NEC AND SAKYU IFM -THE 1ST PILOT FOR FSC FOREST IN JAPAN-,Rejected by Administrator,249,Japan
968,Multiple Proponents,Energy industries (renewable/non-renewable sources); Mining/mineral production,Guizhou Feitian 21 & Miluo & Mayixi CMM Power Generation Project,Withdrawn,511185,China
969,"Mengjin Branch of Henan Qingtian New Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,Henan Mengjin CMM Power Generation Project,Registered,134087,China
970,Solvi Participações S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,GIRUÁ LANDFILL GAS PROJECT,Registration requested,65445,Brazil
971,Sequoia Plantation Togo SAU,Energy demand,Sequoia Improved cookstoves project in Togo,Verification approval requested,828017,Togo
972,C-Quest Capital SG India LED Private Limited,Energy demand,Shine I – Distribution of LED Lightbulbs in South India,Registered,887546,India
973,C-Quest Capital SG India LED Private Limited,Energy demand,Shine I – Distribution of LED Lightbulbs in North India,Registered,3989387,India
974,C-Quest Capital SG India LED Private Limited,Energy demand,Shine I – Distribution of LED Lightbulbs in North-East India,Registered,1115969,India
975,C-Quest Capital SG India LED Private Limited,Energy demand,Shine I – Distribution of LED Lightbulbs in East India,Registered,2351830,India
976,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,INEGOL INTEGRATED SOLID WASTE STORAGE AND DISPOSAL FACILITY,Registration requested,221511,Turkey
977,Multiple Proponents,Waste handling and disposal,Armatec Animal Manure Methane Recovery and Utilization Plant,Registration requested,172770,Turkey
978,"Jinsha Yonder Southwest New Energy Development Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,Guizhou Jinsha CMM Power Generation Project,Registered,504205,China
979,Barutçuoğlu İnşaat Sanayi ve Ticaret Limited Şirketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Barutçuoğlu Landfill Gas to Electricity Power Plant,Registration and verification approval request denied,16126,Turkey
980,Anhua Yuanjing Environmental Protection Technology Co. LtD.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Anhua LFG Power Generation Project,Registered,97392,China
981,Rivulis Pte. Ltd.,Agriculture Forestry and Other Land Use,LA GIOIA CARBON FARMING IN NORTHERN ITALY,Under validation,213,Italy
982,Multiple Proponents,Agriculture Forestry and Other Land Use,"Mangrove restoration project in Wenchang and Changjiang, Hainan",Registration and verification approval request denied,4546,China
983,Multiple Proponents,Agriculture Forestry and Other Land Use,RESTORATION OF HOMESTEAD LAND OF POOR RURAL COMMUNITIES IN ASSAM & MEGHALAYA,Registered,170282,India
984,Solvi Participações S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,SANTA MARIA LANDFILL GAS PROJECT,Registration requested,101103,Brazil
985,Solvi Participações S.A.,Waste handling and disposal,ITVR SAO LEOPOLDO LANDFILL GAS PROJECT,Under validation,149307,Brazil
986,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Elmadag Biogas Power Plant,Registered,32858,Turkey
987,Vetos Europe,"Livestock, enteric fermentation, and manure management",Enteric fermentation emissions' reduction program of Uruguay,Under validation,1382,Uruguay
988,Multiple Proponents,Energy industries (renewable/non-renewable sources),Household Biogas Project in Madhya Pradesh & Jharkhand,Verification approval requested,30154,India
989,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation In Guangshui City,Inactive,58541,China
990,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,Shuzhou Adjusted Water Management in Rice Cultivation,Inactive,55884,China
991,ECOA Climate Capital,Energy demand,Installation of high efficiency cookstoves in Sub Saharan Africa by BURN,Registration requested,22702023,Kenya
992,Vlinder Austria GmbH,Agriculture Forestry and Other Land Use,Community-based Mangrove Restoration Initiative – Lep Lep,Under development,21739,Senegal
993,Multiple Proponents,Agriculture Forestry and Other Land Use,Hubei Badong IFM (conversion of logged to protected forest) Project,Rejected by Administrator,27891,China
994,Carbon Kind Ltd,Energy demand,EMPOWERING COMMUNITIES THROUGH IMPROVED COOKSTOVES,Registration and verification approval requested,333391,Togo
995,Climate Detox Private Limited,Energy demand,Improved Cookstove Distribution by Climate Detox Private Limited - Phase III,Verification approval requested,360290,India
996,"Huaiji County Weizhou Construction Investment and Development Group Co., Ltd",Agriculture Forestry and Other Land Use,Guangdong Huaiji IFM (conversion  of  logged  to  protected  forest)  Project,Rejected by Administrator,106187,China
997,"Henan Yangxiang Breeding Co., Ltd",Waste handling and disposal,Xinfeng AWMS GHG Mitigation Project in Liaoning province,Registered,62184,China
998,"Fangchenggang Xinggang Agricultural Development Co., Ltd",Agriculture Forestry and Other Land Use,Fangchenggang Mangrove afforestation project,Under validation,2790,China
999,"Henan Yangxiang Breeding Co., Ltd",Waste handling and disposal,Yangxiang AWMS GHG Mitigation Project in Hebei province,Registration and verification approval requested,38242,China
1000,"Henan Yangxiang Breeding Co., Ltd",Waste handling and disposal,Yangxiang AWMS GHG Mitigation Project in Henan Province,Registered,58848,China
1001,"Henan Yangxiang Breeding Co., Ltd",Waste handling and disposal,Yangxiang AWMS GHG Mitigation Project in Liaoning Province,Registered,39209,China
1002,"Henan Yangxiang Breeding Co., Ltd",Waste handling and disposal,Yangxiang AWMS GHG Mitigation Project In Shandong Province,Registered,119057,China
1003,"Henan Yangxiang Breeding Co., Ltd",Waste handling and disposal,Yangxiang AWMS GHG Mitigation Project in Zhejiang province,Registered,34762,China
1004,Eldorado Brasil Celulose S.A.,Agriculture Forestry and Other Land Use,FUTURE GREEN CARBON PROJECT,Registration requested,1358351,Brazil
1005,Lacan Investimentos e Participações Ltda,Agriculture Forestry and Other Land Use,Reforestation of land for multiple uses,Under validation,480000,Brazil
1006,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Dongxing Waste Incineration Plant leachate biogas Harmless Treatment and Comprehensive Utilization Project,Verification approval requested,66089,China
1007,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Wanzhou Water Management with Rice Cultivation,Inactive,59255,China
1008,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Fuling Water Management with Rice Cultivation,Inactive,59243,China
1009,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Changshou Water Management with Rice Cultivation,Inactive,59489,China
1010,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Qijiang Water Management with Rice Cultivation,Inactive,59485,China
1011,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Tongliang Water Management with Rice Cultivation,Inactive,59352,China
1012,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Rongchang Water Management with Rice Cultivation,Inactive,59484,China
1013,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Kaizhou Water Management with Rice Cultivation,Inactive,59536,China
1014,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Liangping Water Management with Rice Cultivation,Inactive,59269,China
1015,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Fengdu Water Management with Rice Cultivation,Inactive,59898,China
1016,"Shenzhen PhasCon Technologies Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Pingyuan Landfill Gas Power Generation Phase I Project,Registered,47435,China
1017,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Zhongxian Water Management with Rice Cultivation,Inactive,59472,China
1018,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Yunyang Water Management with Rice Cultivation,Inactive,59921,China
1019,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Xiushan Water Management with Rice Cultivation,Inactive,55066,China
1020,"Chongqing Gengfang Agricultural Development Co., Ltd.",Agriculture Forestry and Other Land Use,Youyang Water Management with Rice Cultivation,Inactive,52191,China
1021,"Heyuan Zhengbo New Energy Development Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Heyuan Qizhai Landfill Gas Power Generation Project,Registered,134828,China
1022,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Vega-Hereko Istanbul Waste to Energy Project,Registered,317033,Turkey
1023,AGROREFORESTADORA RANCHO VICTORIA S.A,Agriculture Forestry and Other Land Use,THE FOREST CARBON PROJECT AGROREFORESTADORA RANCHO VICTORIA S. A,Rejected by Administrator,120048,Colombia
1024,Multiple Proponents,Energy demand,Climate Action Through Improved Cooking Access In Indo-Gangetic Plains,Registered,1767067,India
1025,Brightspark Energy Pvt. Ltd.,Energy demand,SHINE - Distribution of LED lightbulbs in India-1,Registered,101925,India
1026,Lingguan State-Owned Forest Protection Bureau of Yuexi County,Agriculture Forestry and Other Land Use,Sichuan Yuexi Afforestation Project,Registration requested,63723,China
1027,Multiple Proponents,Waste handling and disposal,Kuyucak Biogas Animal Manure Methane Recovery and Utilization Plant,Registration requested,170553,Turkey
1028,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation In Sui County,Inactive,58010,China
1029,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Sarkisla Biogas Power Plant,Registered,48943,Turkey
1030,DelAgua Health Rwanda (Voluntary) Limited,Energy demand,DelAgua Clean Cooking Grouped Project in Burundi,Under validation,7127196,Burundi
1031,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,Grouped projects for water purifiers for climate and community action – Phase 2,Registered,40156,Viet Nam
1032,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,Grouped Projects for Viet Nam Cookstove Program – Phase 2,Registered,56635,Viet Nam
1033,DelAgua Health Rwanda (Voluntary) Limited,Energy demand,DelAgua Clean Cooking Grouped Project in Sierra Leone,Registered,5235427,Sierra Leone
1034,"Global Emissionairy, LLC",Construction,Recycling Roadways for Carbon Emission Reductions – Global Emissionairy – U.S. Project #1,Registered,57231,United States
1035,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation In Zengdu District,Inactive,58979,China
1036,"Jiyuan Weiheng Cow Breeding Co., Ltd.",Waste handling and disposal,Jiyuan Weiheng Cow Breeding Farm Biogas Recovery and Utilization Project,Registered,37493,China
